,ping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,ball_cam,boost,boost_active,jump_active,dodge_active,double_jump_active
2447,10.0,-3500.530029296875,2455.969970703125,16.989999771118164,-18216.99951171875,11784.100341796875,4.699999988079071,4.000000059604645,-2.3000000417232513,893.3000183105469,255.0,128.0,,0.009601382961771111,2.618021188532016,2.191305487408093e-06,True,164.0,False,18,18,False
2448,10.0,-3639.179931640625,2540.739990234375,16.989999771118164,-18537.900390625,11186.400146484375,4.600000083446503,2.3999999463558197,-1.0999999940395355,-893.4999847412109,255.0,0.0,,0.009598534241118884,2.6153494357458413,-0.0003115754782106117,True,164.0,False,18,18,False
2449,10.0,-3639.179931640625,2540.739990234375,16.989999771118164,-18537.900390625,11186.400146484375,4.600000083446503,2.3999999463558197,-1.0999999940395355,-893.4999847412109,255.0,0.0,,0.009598534241118884,2.6153494357458413,-0.0003115754782106117,True,164.0,False,18,18,False
2450,10.0,-3639.179931640625,2540.739990234375,16.989999771118164,-18537.900390625,11186.400146484375,4.600000083446503,2.3999999463558197,-1.0999999940395355,-893.4999847412109,255.0,0.0,,0.009598534241118884,2.6153494357458413,-0.0003115754782106117,True,164.0,False,18,18,False
2451,10.0,-3819.949951171875,2658.989990234375,17.43000030517578,-17375.6005859375,12700.0,321.1000061035156,-105.20000457763672,1553.0000305175781,-1766.6999816894531,255.0,0.0,,-0.006242278554943416,2.468558947711946,0.014031774943208227,True,164.0,False,18,18,False
2452,10.0,-3819.949951171875,2658.989990234375,17.43000030517578,-17375.6005859375,12700.0,321.1000061035156,-105.20000457763672,1553.0000305175781,-1766.6999816894531,255.0,0.0,,-0.006242278554943416,2.468558947711946,0.014031774943208227,True,164.0,False,18,18,False
2453,10.0,-3926.139892578125,2749.7099609375,32.08000183105469,-14331.700439453125,14171.99951171875,4483.599853515625,-700.8999633789062,5452.0001220703125,-183.1999969482422,255.0,128.0,,-0.2581339580462144,2.3350690903335103,0.23868641230367857,True,164.0,False,18,18,False
2454,10.0,-3926.139892578125,2749.7099609375,32.08000183105469,-14331.700439453125,14171.99951171875,4483.599853515625,-700.8999633789062,5452.0001220703125,-183.1999969482422,255.0,128.0,,-0.2581339580462144,2.3350690903335103,0.23868641230367857,True,164.0,False,18,18,False
2455,10.0,-4022.719970703125,2869.110107421875,96.91000366210938,-9160.599975585938,14160.6005859375,10205.999755859375,220.6999969482422,5483.0999755859375,368.49998474121094,255.0,211.0,,-0.5722172775739239,2.1597503928758184,0.683853709556179,True,164.0,False,18,18,False
2456,10.0,-4022.719970703125,2869.110107421875,96.91000366210938,-9160.599975585938,14160.6005859375,10205.999755859375,220.6999969482422,5483.0999755859375,368.49998474121094,255.0,211.0,,-0.5722172775739239,2.1597503928758184,0.683853709556179,True,164.0,False,18,18,False
2457,10.0,-4022.719970703125,2869.110107421875,96.91000366210938,-9160.599975585938,14160.6005859375,10205.999755859375,220.6999969482422,5483.0999755859375,368.49998474121094,255.0,211.0,,-0.5722172775739239,2.1597503928758184,0.683853709556179,True,164.0,False,18,18,False
2458,10.0,-4078.02001953125,2991.929931640625,208.52999877929688,-3328.9999389648438,12644.89990234375,13459.89990234375,1123.0999755859375,5378.800048828125,-238.09999465942383,255.0,253.0,,-0.8598853361772756,1.7931871658820977,1.2882310866911952,True,164.0,False,18,18,False
